Begin,End,Length,Type,Contract,Location,Size,Estimate,Materials cost,Labor costs,Revenue,Overshoot,Profit,Margin,,,Revenue,Overshoot,Profit,,
17-Mar,23-Mar,6,Patio,Self,Surrey,M,1500,550,400,1400,-100,450,0.32,,Max,14500,625,9350,,
31-Mar,03-Apr,3,Paint,Self,Vancouver,S,400,75,100,400,0,225,0.56,,Min,400,-800,200,,
02-Apr,10-Apr,8,Deck,Self,Surrey,L,3000,900,500,3000,0,1600,0.53,,Average,3189,38,1448,,
11-Apr,20-Apr,9,Deck,Self,Delta,L,5000,1400,800,5200,200,3000,0.58,,Total,98850,,44875,,
28-Apr,10-May,12,Fence,Self,Coquitlam,M,3000,600,350,2500,-500,1550,0.62,,,,,,,
08-May,14-May,6,Patio,Self,Burnaby,M,2000,800,400,2000,0,800,0.40,,,,,,,
11-May,19-May,8,Patio,Self,Burnaby,M,1000,100,200,1000,0,700,0.70,,,,,,,
17-May,26-May,9,Deck,Alex,Burnaby,L,4300,850,450,3500,-800,2200,0.63,,,,,,,
25-May,31-May,6,Sunroom,Self,Delta,S,900,300,150,900,0,450,0.50,,,,,,,
25-May,29-May,4,Fence,Self,Vancouver,S,500,250,50,500,0,200,0.40,,,,,,,
15-Jun,23-Jun,8,Patio,Self,Richmond,L,5600,2100,900,5600,0,2600,0.46,,,,,,,
18-Jun,20-Jun,2,Paint,Self,Delta,S,400,50,0,400,0,350,0.88,,,,,,,
24-Jun,29-Jun,5,Patio,Self,Vancouver,M,3600,680,600,3800,200,2520,0.66,,,,,,,
24-Jun,30-Jun,6,Deck,Self,Coquitlam,M,2400,800,730,2500,100,970,0.39,,,,,,,
25-Jun,30-Jun,5,Fence,Self,Delta,S,1400,1300,400,2000,600,300,0.15,,,,,,,
30-Jun,07-Jul,7,Patio,Self,Vancouver,M,3400,1400,1000,3700,300,1300,0.35,,,,,,,
01-Jul,07-Jul,6,Patio,Self,Delta,M,2400,1350,900,2650,250,400,0.15,,,,,,,
05-Jul,20-Jul,15,Deck,Alex,Vancouver,L,13875,3250,1900,14500,625,9350,0.64,,,,,,,
10-Jul,14-Jul,4,Fence,Self,Vancouver,S,1200,450,300,1250,50,500,0.40,,,,,,,
10-Jul,17-Jul,7,Deck,John,Vancouver,M,4600,2600,1300,4500,-100,600,0.13,,,,,,,
11-Jul,16-Jul,5,Patio,Self,Vancouver,M,2400,800,600,2400,0,1000,0.42,,,,,,,
15-Jul,28-Jul,13,Deck,Alex,Delta,L,9350,3900,2475,9000,-350,2625,0.29,,,,,,,
20-Jul,25-Jul,5,Patio,John,Coquitlam,M,2400,800,1000,2500,100,700,0.28,,,,,,,
23-Jul,29-Jul,6,Patio,Self,Richmond,M,1800,900,700,2200,400,600,0.27,,,,,,,
24-Jul,29-Jul,5,Patio,Self,Coquitlam,M,2300,700,500,2500,200,1300,0.52,,,,,,,
24-Jul,27-Jul,3,Fence,John,Anmore,S,800,450,0,750,-50,300,0.40,,,,,,,
25-Jul,30-Jul,5,Deck,Self,Delta,M,4100,1700,500,4300,200,2100,0.49,,,,,,,
27-Jul,29-Jul,2,Fence,Self,North Vancouver,S,400,175,0,400,0,225,0.56,,,,,,,
29-Jul,04-Aug,6,Patio,John,Burnaby,M,2750,1200,500,2800,50,1100,0.39,,,,,,,
30-Jul,05-Aug,6,Patio,Self,Surrey,M,3000,1450,600,2700,-300,650,0.24,,,,,,,
30-Jul,13-Aug,14,Sunroom,Self,Delta,L,7900,2890,900,8000,100,4210,0.53,,,,,,,
,,,,,,,,,,,,,,,,,,,,
